teamId,name,createdAt,updatedAt,adminId,schoolId
20f9b0c6-37fa-4509-987a-6be7b341d98e,Middle,2024-02-12 09:19:31.757,2024-02-12 09:19:31.757,a20f6805-417b-49cf-9832-8c8c6f97af18,c9eac58d-414c-4536-9b52-97699c39b452
1781aa8d-369d-4875-8a32-c8aac39ea543,High,2024-02-12 09:19:18.648,2024-02-12 09:19:18.648,a20f6805-417b-49cf-9832-8c8c6f97af18,c9eac58d-414c-4536-9b52-97699c39b452
d0be4668-a1b2-4ed5-a47b-fa3218a055b2,Primary,2024-02-12 15:34:14.245,2024-02-12 15:34:14.245,a20f6805-417b-49cf-9832-8c8c6f97af18,c9eac58d-414c-4536-9b52-97699c39b452
3154c287-f80c-4f60-afff-fdb70998166c,High,2024-03-12 22:34:08.978,2024-03-12 22:34:08.978,a20f6805-417b-49cf-9832-8c8c6f97af18,e26a6195-173c-49de-b3c2-282068448163
17804859-c5e9-40c5-b369-6ba220e71325,Middle,2024-03-12 22:34:10.64,2024-03-12 22:34:10.64,a20f6805-417b-49cf-9832-8c8c6f97af18,e26a6195-173c-49de-b3c2-282068448163
4aeb78ee-e1ac-4379-8902-364512722922,Primary,2024-03-12 22:34:11.559,2024-03-12 22:34:11.559,a20f6805-417b-49cf-9832-8c8c6f97af18,e26a6195-173c-49de-b3c2-282068448163
22a9ea96-4d61-4380-95f0-297885fdd10b,High,2024-03-12 22:38:06.855,2024-03-12 22:38:06.855,a20f6805-417b-49cf-9832-8c8c6f97af18,149d2d08-4381-4642-a9ea-cfd356bb89b9
894c2802-6248-4708-8532-71e4b21b8bba,Middle,2024-03-12 22:38:08.472,2024-03-12 22:38:08.472,a20f6805-417b-49cf-9832-8c8c6f97af18,149d2d08-4381-4642-a9ea-cfd356bb89b9
4c0de573-cf99-4fc6-adac-ea4b992e370e,Primary,2024-03-12 22:38:09.458,2024-03-12 22:38:09.458,a20f6805-417b-49cf-9832-8c8c6f97af18,149d2d08-4381-4642-a9ea-cfd356bb89b9
b7e70337-bf1d-4886-ae46-d7d94c662aed,High,2024-03-13 10:22:34.099,2024-03-13 10:22:34.099,a20f6805-417b-49cf-9832-8c8c6f97af18,9c1a5025-1721-4f51-b856-e82897a61f83
08581c78-946e-4170-ab66-583c76d65e25,Middle,2024-03-13 10:22:35.763,2024-03-13 10:22:35.763,a20f6805-417b-49cf-9832-8c8c6f97af18,9c1a5025-1721-4f51-b856-e82897a61f83
e88b5def-6860-4937-a3f3-519b0869dc90,Primary,2024-03-13 10:22:36.762,2024-03-13 10:22:36.762,a20f6805-417b-49cf-9832-8c8c6f97af18,9c1a5025-1721-4f51-b856-e82897a61f83
a09c72c1-c1f6-4299-888a-a057c3df896a,High,2024-03-13 11:56:01.052,2024-03-13 11:56:01.052,a20f6805-417b-49cf-9832-8c8c6f97af18,a8b6777a-d920-42c6-99ed-f9f0a408c3b3
0ad49123-86a9-4b08-aa3f-aea1923a8272,Middle,2024-03-13 11:56:02.636,2024-03-13 11:56:02.636,a20f6805-417b-49cf-9832-8c8c6f97af18,a8b6777a-d920-42c6-99ed-f9f0a408c3b3
bc1a34f3-e310-47f7-938c-4eaeacaf7905,Primary,2024-03-13 11:56:03.602,2024-03-13 11:56:03.602,a20f6805-417b-49cf-9832-8c8c6f97af18,a8b6777a-d920-42c6-99ed-f9f0a408c3b3
f57201ce-04cb-4b24-a20a-c0adcc3e628e,High,2024-03-13 18:49:06.151,2024-03-13 18:49:06.151,a20f6805-417b-49cf-9832-8c8c6f97af18,b478a611-bbb1-4328-8a37-c276d0d4ef99
bfc7cec7-c9fc-482c-9a90-6f4ba546664d,Middle,2024-03-13 18:49:07.809,2024-03-13 18:49:07.809,a20f6805-417b-49cf-9832-8c8c6f97af18,b478a611-bbb1-4328-8a37-c276d0d4ef99
e421ebdb-ce02-4e31-8224-cc8ffbd60d9d,Primary,2024-03-13 18:49:08.893,2024-03-13 18:49:08.893,a20f6805-417b-49cf-9832-8c8c6f97af18,b478a611-bbb1-4328-8a37-c276d0d4ef99
594e9121-b8f5-4d47-98f2-9fa182ce6ec8,High,2024-03-13 18:49:39.609,2024-03-13 18:49:39.609,a20f6805-417b-49cf-9832-8c8c6f97af18,a3a7cbd8-4f4f-454f-aa6e-b0fbe57fc049
3fc7766c-ebbf-4307-a6dd-d83b088c06ca,Middle,2024-03-13 18:49:41.257,2024-03-13 18:49:41.257,a20f6805-417b-49cf-9832-8c8c6f97af18,a3a7cbd8-4f4f-454f-aa6e-b0fbe57fc049
8e3b6c42-50a6-4658-8459-79863d01999d,Primary,2024-03-13 18:49:42.247,2024-03-13 18:49:42.247,a20f6805-417b-49cf-9832-8c8c6f97af18,a3a7cbd8-4f4f-454f-aa6e-b0fbe57fc049
